id,nombre,documento
173,matematicas discretas , logica matematica demostraciones conjuntos y sucesiones introduccion a teoria numeros y tecnicas conteo estructuras numeros enteros como grafos y arboles v algoritmos y aplicaciones a teoria grafos y arboles matematicas discretas 
174,metodologias desarrollo software , introduccion a metodologias desarrollo software metodologias tradicionales metodologias agiles casos estudios metodologias desarrollo software 
175,metodos numericos , metodos calculo raices funciones metodos resolucion sistemas de ecuaciones lineales interpolacion y ajuste curvas diferenciacion e integracion numerica metodos numericos 
176,mineria datos , fundamentos y conceptos basicos mineria de datos visualizacion y reduccion dimensionalidad y clustering metodos predictos y arboles decision aplicaciones data mining mineria datos 
177,programacion orientada a objetos , fundamentos programacion orientada a objetos herencia polimorfismo manipulacion archivos y manejo excepciones manejo colecciones v programacion con interfaces graficas usuario (gui) y manejo eventos programacion orientada a objetos 
178,realidad socioeconomica cultural y ecologica ecuador , paisaje geografico historico y ambiental ecuador paisaje sociocultural politico ecuatoriano poblacion recursos y sistema economico del ecuador sistema producto y distribucion riqueza ecuatoriana realidad socioeconomica cultural y ecologica ecuador 
179,redes computadoras , fundamentos redes datos arquitectura red (osi y tcp ip) capa fisica y enlace datos capa red y direccionamiento ipv4 ipv6 v protocolos capa transporte redes computadoras 
180,seguridad informatica , fundamentos seguridad informatica seguridad fisica y logica seguridad web seguridad bases datos v seguridad redes lan e inalambrica seguridad informatica 
181,seminario titulacion , modalidades titulacion carrera estructuracion y metodologia desarrollo trabajo titulacion contextualizacion trabajo titulacion elaboracion anteproyecto segun modalidad seminario titulacion 
182,sistemas gestion seguridad informacion , sistema gestion seguridad informacion criptografia algoritmos cifra simetrica algoritmos cifra asimetrica v arquitecturas seguridad sistemas gestion seguridad informacion 
183,sistemas inteligentes , fundamentos inteligencia artificial (ia) representacion conocimiento y razonamiento artificial e inferencia redes neuronales redes neuronales convolucionales (cnn) y redes neuronales recurrentes (rnn) sistemas inteligentes 
184,sistemas juegos , fundamentos programacion videojuegos diseno videojuegos programacion videojuegos visualizacion tiempo real sistemas juegos 
185,sistemas operativos , estructura sistemas operativos procesos e hilos concurrencia y computacion paralela gestion memoria v memoria virtual sistemas operativos 
186,tecnicas simulacion , introduccion a simulacion numeros aleatorios y pseudoaleatorios generacion variables aleatorias lenguajes simulacion y simuladores tecnicas simulacion 
187,tecnicas avanzadas despliegue , evolucion software control versiones procesos automatizacion herramientas despliegue tecnicas avanzadas despliegue 
188,tecnicas avanzadas empresariales era ia , introduccion a arquitecturas empresariales desafios tecnologicos modelos arquitectonicos era ia tecnologias aplicacion arquitecturas era ia caso estudio erp scm bpm tecnicas avanzadas empresariales era ia 
189,analsis y diseno algoritmos ,diferencias entre mejor esperado y peor caso algoritmo analisis asintotico complejidad cotas superior y esperada definicion formal notacion gran o clases complejidad como constante logaritmica lineal cuadratica y exponencial medidas empiricas desempeno compensacion entre espacio y tiempo algoritmos uso notacion gran o notacion pequena o gran omega y gran theta relaciones recurrentes analisis algoritmos iteratos y recursos algunas versiones teorema maestro algoritmos fuerza bruta algoritmos voraces divide y venceras vuelta atras recursa programacion dinamica ramificacion y poda heuristicas reduccion transformar y conquistar algoritmos numericos simples tales como calculo media lista numeros encontrar minimo y maximo algoritmos busqueda secuencial y binaria algoritmos ordenamiento peor caso cuadratico algoritmos ordenamiento con peor caso o caso promedio o(nlog n) tablas hash incluyendo estrategias evitar y resolver colisiones arboles busqueda binaria grafos y algoritmos grafos grafos y algoritmos grafos busqueda patrones y algoritmos cadenas y os gramaticas libres contexto introduccion a clases p y np y al problema p vs np introduccion y ejemplos problemas np completos y a clases np completos arboles balanceados estructuras datos avanzadas estructuras datos y algoritmos basados cadenas redes flujo programacion lineal algoritmos teorico numericos algoritmos geometricos algoritmos aleatorios algoritmos estocasticos algoritmos aproximacion analisis amortizado analisis probabilistico algoritmos linea y analisis competito analsis y diseno algoritmos 
190,administracion base datos ,el impacto indices rendimiento consultas estructura basica indice mantener bufer datos memoria creando indices con sql indexando o indexando web diferentes maneras invocar consultas no procedimentales lenguajes convencionales introduccion a otros lenguajes importantes consulta procedimientos almacenados transacciones fallo y recuperacion control concurente interaccion gestion transacciones con almacenamiento especialmente almacenamiento almacenamiento y estructura archivos archivos indexados archivos hash archivos firma arboles b archivos con indice denso archivos con registros tamano variable eficiencia y afinacion bases datos documentos publicacion electronica markup y lenguajes markup tries archivos invertidos arboles pat archivos firma indexacion analisis morfologico stemming frases stop lists distribuciones frecuencia terminos incertidumbre fuzificacion ponderacion espacio vectorial probabilidad logica y modelos avanzados necesidad informacion relevancia evaluacion efectidad thesauri ontologias clasificacion y categorizacion metadata informacion bibliografica bibliometria citaciones enrutamiento y filtrado busqueda multimedia informacion resumen y visualizacion busqueda facetas librerias digitales digitalizacion almacenamiento intercambio objetos digitales composicion y paquetes metadata y catalogacion nombramiento repositorios archivos archamiento y preservacion integrada espacios arquitecturas interoperabilidad servicios gestion derechos propiedad intelectual privacidad y proteccion administracion base datos 
191,algebra lineal ,introduccion a vectores resolver sistemas ecuaciones lineales espacios y subespacios vectoriales ortogonalidad determinantes valores y vectores propios transformaciones lineales algebra lineal 
192,algortimos y estructuras datos ,estrategias algoritmicas algoritmos y estructuras datos fundamentales computabilidad y complejidad basica automatas teoria y computabilidad avanzada automatas estructuras datos y analisis algoritmos algortimos y estructuras datos 
193,analisis y diseno sistemas ,identificacion oport es cambio organizacional basados ti gestion procesos negocios analisis requerimientos negocio estructuracion oport es basadas ti dentro proyectos especificacion proyectos priorizacion proyectos analisis factibilidad proyectos fundamentos gestion proyectos sistemas informacion dentro contexto global analisis y especificacion requerimientos sistema diferentes enfoques implementacion sistemas informacion apoyar requerimientos negocio especificacion alternativas implementacion sistema especifico impacto alternativas implementacion especificacion requisitos sistema metodos comparar enfoques implementacion sistemas implementacion organizacional nuevo sistema informacion diferentes enfoques analisis y diseno sistemas sdlc estructurado proceso unificado uml metodos agiles principios diseno seguro diseno software metodos formales tecnicas organizacion archivos analisis y diseno sistemas 
