id,documento
122,Traditionally. faculty members are evaluated on the three academic areas of teaching. research. and service. The emphasis placed on an area depends on several factors including institutional mission. teaching load requirements. and faculty area of expertise. The explosion of teaching innovations over the last few years makes it increasingly important for faculty members to document their teaching excellence and the impact of their teaching. This article presents 10 domains to document teaching performance for tenure and promotion. or for annual evaluations. PU  - WILEY PI  - HOBOKEN PA  - 111 RIVER ST. HOBOKEN 07030-5774. NJ USA
123,Background: Molecular taxonomic assignments in oral microbial communities have been made using probe-matching approaches. but never compared to those obtained by more readily accepted tree-based approaches. Objective:  To compare community composition profiles obtained from a probe-matching approach (HOMINGS) to those from a closed-ended tree-based approach (QIIME using the eHOMD database). Design:  HOMINGS and QIIME were used for parallel analysis of ten mock community samples. and of 119 supragingival plaque samples from ecologically unique sites (sound tooth surfaces in healthy subjects. sound tooth surfaces in patients with primary Sj?gren?s Syndrome. and carious lesions in Sj?gren?s Syndrome patients). Linear discriminant analysis Effective Size (LEfSe) was used to identify discriminating taxa among the natural plaque samples. Results: Community composition profiles of all samples were congruent between the two analysis aproaches. Alpha and beta diversity of the natural plaque communities were likewise similar. Communities from pSS patients and those from individuals with normal salivary flow differed in alpha and beta diversity. Both classification approaches yielded differences in composition predicted for samples from these subject cohorts. and discriminating taxa were similar between approaches. Conclusions: A direct comparison demonstrates that HOMINGS is largely equivalent to the tree-based approach as implemented here.  . This work was authored as part of the Contributor?s official duties as an Employee of the United States Government and is therefore a work of the United States Government. In accordance with 17 U.S.C. 105. no copyright protection is available for such works under U.S. Law. This is an Open Access article that has been identified as being free of known restrictions under copyright law. including all related and neighboring rights (https://creativecommons.org/publicdomain/mark/1.0/). You can copy. modify. distribute and perform the work. even for commercial purposes. all without asking permission.
124,There are more data than ever to analyse and support higher education management decisions and trends nationally and internationally. National higher education systems should rely more on data-based decision making. so on data driven decision support systems (DSS). Using education data provided by Eurostat between 2013?2017. a DSS has been built. By using this DSS. enrolled students related gender data analysed in detail. The data dimensions of the research are enrolled students. gender. education level. fields of education. But. a data-driven DSS for all education levels and fields of European countries will be next research subject in order to provide education intelligence for all education policy makers. managers. teachers. academic staff students and families.   2020. Springer Nature Switzerland AG.
125,Studies have provided evidence that Interprofessional Education (IPE) can improve learners' attitudes. knowledge. skills. behaviors. and competency. Traditionally. IPE is commonly seen in the healthcare professional training in tertiary education. Aging is a global issue that requires more than just a single healthcare sector. It requires interdisciplinary collaboration and understanding to tackle the issues. Therefore. IPE is essential for nurturing university students to tackle the ever-changing global challenges. In addition. different hurdles can hinder IPE development. To have a better understanding of the feasibility. acceptance. and educational value of IPE in Hong Kong. we conducted a cross-sectional quantitative study. We invited teachers and students from a Hong Kong university to fill in an online survey that evaluated their understanding and participation in IPE. their attitude toward IPE. and the barriers to developing IPE from March to June 2020. Among the 37 academic staff and 572 students who completed the survey. 20 (54.1{\%}) teachers and 422 (73.8{\%}) students had never heard of IPE before. and 26 (70.3{\%}) teachers and 510 (89.2{\%}) students had never participated in any IPE activities. Major barriers reported by teachers included an increase in teaching load (72.9{\%}). lack of administrative support (72.9{\%}). lack of financial support and limited budget (67.5{\%}). difficulty to make logistic arrangements (64.8{\%}). and problems with academic schedules and calendars (62.1{\%}). The survey findings revealed that despite the positive attitude of university teachers and students toward IPE. barriers that could hinder the development of IPE included heavy teaching and administrative load and logistic arrangement for classroom arrangement and academic scheduling involving multiple faculties. PU  - FRONTIERS MEDIA SA PI  - LAUSANNE PA  - AVENUE DU TRIBUNAL FEDERAL 34. LAUSANNE. CH-1015. SWITZERLAND
126,This research aimed at identifying the level of practice of electronic teaching skills among the faculty members of PSAU and detecting the effects of the following research variables:Teaching Load. Students Number. and Teaching Experience. through surveying (153) faculty member in PSAU in 2020. The results showed that the faculty members agreed that e-teaching skills are highly practiced in technology. design. and management fields in PSAU. The results also proved that there were no statistically significant differences to (design and management fields. and overall skill) according to the 'Teaching Load' variable. There were also statistically significant differences to (the technology field) according to the 'Teaching Load' variable in favor of those with 'lighter teaching load with administrative duties'. However. there were no statistically significant differences to (design and management fields. and overall skills) according to the 'Student Number' variable. PU  - KAMLA-RAJ ENTERPRISES PI  - GURGAON PA  - B2-GROUND FLR. SOUTH CITY II. GURGAON. HARYANA 122 018. INDIA
127,"BackgroundFollowing the COVID-19 pandemic. distance education (DE) replaced traditional ""face-to-face"" teaching and has become the main method of teaching. The aim of this study was to 1) evaluate the impact of DE by teachers in our department during the second semester of the 2019-20 academic year following the March-May 2020 Italian national lockdown and 2) evaluate the relationship between DE and the emotional well-being of teachers during the period of home confinement.MethodsNinety-seven university teachers (51.5{\%} women, most represented age group 60-69years range. 40.2{\%}) responded to an anonymous online cross-sectional survey between July 15 - September 30. 2020. on the advantages and disadvantages of DE. developed by one online teacher focus group. The emotional conditions were assessed by a short version of the Beck Depression Inventory-II (BDI-II). The internal consistency reliability survey and the 10-item BDI-II were measured by Cronbach's alpha. A correlation analysis (r-Pearson) was conducted between the overall evaluation of the experience of DE and the variables included in the study.ResultsTeachers reported difficulties in technical aspects. and in psychological factors. as the discomfort of ""speaking in the void"" (64.7{\%}). The absence of ""face-to-face"" eye contact with the students was complained by 81{\%} of teachers.Significant impairments in sleep patterns and loss of energy were reported. with female teachers having greater difficulty concentrating than their male colleagues. A quarter of teachers showed depressive symptoms of varying severity.The most satisfied teachers were those most stimulated by DE (r=0.752. p{\textless}0.000). who showed a lower impact of depressive symptoms (r=-0.289. p=0.005). The teaching load in hours influenced the perception of disadvantages (r=0.214. p=0.035) and contributed to a lower appreciation of the challenges of DE.The more significant the manifestation of depressive symptoms during the lockdown was. the greater the subjective recovery of a good emotional condition once the domestic confinement was over (r=0.344. p=0.001). despite maintaining DE.ConclusionsOur study highlights the impact of technical. didactic. and psychological difficulties of DE. reported by our teachers. The appreciation of their new learning promoted by DE seemed related to better emotional well-being of university teachers accepting this ""challenge"" in their important role in the high-education system. influencing good learning and promoting students' professional success. PU  - BMC PI  - LONDON PA  - CAMPUS. 4 CRINAN ST. LONDON N1 9XW. ENGLAND"
128,It is an obligation for all university teachers to improve the quality of the educational process offered in their subjects. This general maxim is even more important in the field of the training of students of Early Childhood Education Degree. future teachers of students from 0 to 6 years old. They are in charge of creating the learning bases of our future society. With this goal. this study of theoretical reflection is carried out. This document. part of a larger study. focuses on analyzing the musical training that is being offered to these students in eight Universities in Spain. selected for their geographical and curricular diversity. The objective is to understand what is the underlying educational philosophy. what position occupies the teaching of music in the field of Early Childhood Education and what is the learning sought in students. future teachers of this educational stage. checking whether there are significant educational differences depending on the institution. For this purpose. the teaching plans of these Spanish Universities are analysed. Methodologically. it is a study of theoretical reflection. in which a descriptive and comparative analysis is made of the data obtained through documentary sources. from a qualitative perspective. The data referring to three defined categories have been analysed: the musical profile offered. the musical teaching load and the curricular content. Through the analysis and discussion of the data obtained. the document offers proposals of those lines that can be better valued for their possible positive repercussions in the musical training of the students of Early Childhood Education Degree. In this way. it is hoped that this study will serve as a guide for proposing improvements in the study plans in relation to music and its didactics in this Degree. PU  - IATED-INT ASSOC TECHNOLOGY EDUCATION {\&} DEVELOPMENT PI  - VALENICA PA  - LAURI VOLPI 6. VALENICA. BURJASSOT 46100. SPAIN
129,"The present research for practice in progress work paper aims to develop a diagnostic model of the level of entrepreneurship of Higher Education Institutions (HEIs) as a way of strategically assisting Technological Innovation Centers (NITs) in decision making. For this. an information system for management of the actions of entrepreneurship and innovation is developed based on the critical factors of success defined as indicators of the level of entrepreneurship of the University. The methodology for proposing the diagnostic model is described in four steps: 1) obtaining the list of indicators: carried out through research bibliographic research emphasizing the critical success factors for entrepreneurial universities, 2) Expert analysis: which should create a ranking of importance of each indicator for the general level of entrepreneurship and create a 'Great'. 'good'. 'fair'. 'bad' and 'terrible' scale for each indicator 3) information retrieval: where the values of each indicator will be collected from the data of the academic systems and 4) construction of the report on the entrepreneurial profile of the HEI using Fuzzy Logic..   2019 IEEE."
130,Bulacan State University (BulSU) is a state funded higher education institution in the Philippines located in the City of Malolos in Bulacan. It is observed that on the average. electricity consumption the University is increasing at a rate of 32.5% per annum. It is also noted that the University is lacking in Energy Management System (EnMS) which may help the University in reducing its annual energy consumption. The goal of this study is to design a multiple criteria decision support system in establishing EnMS based on ISO 50001 standards for the College of Engineering building of BulSU which may serve as archetype reference for the University-wide implementation of EnMS. The methodology is divided into five phases. Phase 1 is energy audit at the building under the study. The total energy audited is 59.443 kWh. 65% of which is due to air-conditioning system of the building followed by laboratory and office equipment (16%) and lighting (14%). Phase 2 is the design of EnMS which reveals the annual cost of implementing the system. Phase 3 simulates the reduction in energy when EnMS is implemented. Study reveals a decrease of 23.38% in energy use after five years implementation of the system. Phase 4 performs cost-benefit analysis using net present value (NPV) method and return of investment (ROI) method. NPV is at least Php 4 Million and ROI is found to be 4.2 years. Phase 5 identifies the different criteria that will help the University administration in their decision to support the implementation of the proposed EnMS. The proposed EnMS was presented to the top officials of the University and was graded using the multi-criteria decision support system as beneficial.   2019 IEEE.
131,It is essential for academic staffs to keep track of their publication records. Publication is seen to be the main resource for evaluation in the academic world. Besides. the publication criteria are mainly being evaluated for promotion and to access research grants from the institution or the government entities. The basis of this research is to unveil personal. behavioral and environmental factors using social cognitive theory (SCT) and by implementing the Viable System Model (VSM) as the diagnostic tool using cybernetic concept which is more viable to changes in the organization. which relate to key performance indicators (KPI) delivery on scholarly publications (SP). Thus. this study is aimed at investigating factors associated with publication productivity among the research university academic staffs by integrating VSM and SCT. This study applies qualitative method triangulated with quantitative method. The findings show that the most influential factors for the SP of Universiti Teknologi Malaysia (UTM) are age. gender. experience. rank. teaching load. collaboration. funding. resource. discipline and skill. The model was evaluated for the SP KPI monitoring process. which further can be used by public and private universities to improve the performance of their institution's publication.   2019 IEEE.
132,The exceptional situation generated by the global pandemic COVID-19 has forced the massive use of digital tools at all educational levels. evidencing both mismatches in the teaching load for teachers and students in their adaptation. as well as the need to observe in more detail the learning process that students follow. This work makes a first exploration of the changes in the digital uses of students as they move from face-to-face teaching with the support of the virtual campus to the online one. according to the records or traces that remain when accessing virtual resources. The case study is contextualized in the subject Industrial 0rganization of the second semester of the 2020 academic year. and describes typologies and patterns of different uses before and after the declaration of the state of national alarm. with a differentiated effect. being the students in quartile Q1 of the distribution who more reactivate their digital activity. they see an opportunity to re-engage in online teaching. elements that serve as a guide for a future eventuality.   2021 Research Group Education and Virtual Learning (GREAV). All rights reserved.
133,We have designed an anti-plagiarism software to detect plagiarism in students? assignments. especially written assignments. homework. and research reports. which will hereinafter be collectively referred to as student work. We used our university network to gather student work to detect plagiarism. To collect data. we used a domain name system to store the student work data based on the respective location. time. and the subject on which each student was assigned work. Once the student work data were collected. they were sent to an extraction module to remove unwanted data. The remaining data were then fed to a similarity index module. which produced similarity values based on comparisons between the collected data and the student work. This module uses mathematical equations that are built using semantic and syntactic similarity reports. Furthermore. in this study. we recommended procedures that can be applied to avoid plagiarism using the programming approach. This approach can raise awareness of plagiarism among students and encourage them to generate innovative ideas instead of plagiarizing. To attract faculty members to use the software. promotional materials can be customized based on the actual control factors that directly affect their adoption of the software. For example. the campaign should provide information highlighting the ease of implementation of the software for senior faculty members.   2020 Informa UK Limited. trading as Taylor & Francis Group.
134,The UPM Master in Space Systems (MUSE) is a two-year graduate program focused on space systems technology. The program is largely project-based. with the UPMSat-2 satellite mission as a general framework to which the various course subjects are applied. The course on Data Housekeeping deals with the hardware and software aspects of the on-board computer systems in charge of data acquisition. monitoring and control within a spacecraft. with special reference to UPMSat-2. as well as the command and supervision functions of the associated ground segment. Since the real hardware used on the satellite is expensive and thus not amenable to use in laboratory work. except in very limited situations. a simplified engineering model of it has been developed by the authors. The model is based on a cheap. reduced size microcomputer board kit that can be easily acquired and taken home by the students in order to carry out the laboratory assignments and supplementary work as needed. The hardware and software components of the laboratory kit. its use in the course. and its impact on the students performance. are described in the paper.   2020 Elsevier B.V.. All rights reserved.
135,This Innovative Practice Full Paper notes that recent research has indicated that large numbers of college and university students make limited use of their class textbooks. This is particularly true in terms of assigned readings - whether they are required for the course or not. Students are knowingly depriving themselves of an important means of learning. While the falling use of textbooks among students is concerning. it should be especially so because of the ongoing pandemic. The pandemic has forced much of the secondary educational experience online. limiting forms of in-person lectures and group activities. and severely restricting or rendering impossible hands-on assignments such as labs and projects. It is clear that the current environment students find themselves in is not optimized for learning. In an attempt to increase student understanding of course material. an online. interactive textbook was created using the software platform Top Hat The book is in its first edition. and is for use with the university's engineering course Statics and Mechanics of Materials. It was written and developed by a professor with years of teaching experience and course development. and by a student who had previously taken the course and has worked as a certified tutor for the university. The textbook employs pedagogies designed to increase student understanding of material. such as active learning. and is used in conjunction with a flipped classroom format. To facilitate this approach. the book has readings that are to be completed before lecture in preparation for various class activities. including group assignments and discussions and think-pair-share. Questions are embedded within the assigned readings for the students to check their understanding of the material. These questions provide instant feedback to the students. either informing them their answer was correct. or alerting them it was incorrect and giving hints to help solve the problem. As the textbook makes use of educational strategies known to improve student learning. it is desired to know if the book had a positive impact on their understanding of the course material. One method of evaluating the online text is to compare students' text use with their level of achievement in the course. Two factors related directly to text use were investigated: the number of questions in the textbook students answered correctly (Correctness) and the number of questions in the textbook answered in general (Participation). The students were categorized into three levels (low. medium. and high) based on their respective score for each variable and two. one-way between-subjects analysis of variance (ANOVA) were performed to determine if there existed a significant difference between student textbook usage (participation and correctness) and overall course grades. Post hoc testing was then performed to determine differences between the three groups. Both F-tests were significant. with significant differences found between the different groups for both correctness and participation. The largest difference occurred between the top and bottom thirds of the class with respect to question correctness. with the difference in mean final course grades being a full letter grade.   2021 IEEE.
136,Mobile edge computing has been an important supplement for traditional cloud computing architecture to offer low-delay computing services to mobile users. However. it is in general impossible for edge service providers to overdeploy so much edge resources to satisfy the rapidly increasing while diverse user demands. In this paper. we study a mobile edge computing system consisting of a service platform. cloudlets joining the system. and mobile users. In this study. we focus on a profit-driven perspective such that the service platform purchases computation resource from the resource-rich cloudlets and makes profit by processing tasks from user side. The design objective is to maximize the platform profit subject to budget constraint and stringent delay requirements for task processing. We formulate this problem as a mixed integer programming problem. Due to the NP-hardness of the problem. we design a logic based Benders decomposition algorithm as the offline solution. We further study the scenario where the task arrivals from user side and resource availability at the cloudlets are both stochastic and unknown in advance. We accordingly propose a Multi-Armed Bandit learning based resource purchasing and greedy task scheduling algorithm for the online scenario. Simulations results show the high performance of our proposed algorithms. PU  - IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC PI  - PISCATAWAY PA  - 445 HOES LANE. PISCATAWAY. NJ 08855-4141 USA
137,The genus Giardia includes several species distinguished by morphological. biological and molecular features. Currently. eight species within the genus are retained as valid. In Italy no identification of Giardia species other than Giardia duodenalis has been so far reported. Fecal samples were collected from two Gunther's Voles (Microtus guentheri) positive to Giardia cysts by microscopic investigation and immunofluorescence. The voles were born in Milan (Northern Italy) from two gravid females imported from the Netherlands and kept for sale in a pet shop in Varese (Northern Italy). Positive feces were subjected to a nested PCR to amplify a 18S rRNA fragment for molecular characterization. A phylogenetic analysis was conducted to compare the obtained sequence with those of all other Giardia species available in GenBank for the 18S locus. using the Maximum Likelihood (ML) method by R software. Sequence analyses unambiguously identified the isolates as belonging to G. microti. showing 99{\%} of identity with those of its isolates available in GenBank. A well-defined cluster. supported by significant bootstrap values and corresponding to the G. microti cluster. including sequences obtained from M. guentheri. was evidenced in the ML tree. confirming species assignment. The present finding represents the first report of G. microti from pet animals in Italy. PU  - ELSEVIER IRELAND LTD PI  - CLARE PA  - ELSEVIER HOUSE. BROOKVALE PLAZA. EAST PARK SHANNON. CO. CLARE. 00000. IRELAND
138,"Objective: It is important to register clinical trials before their implementation. There is a lack of study to evaluate registered clinical trials of stem cell therapy for heart diseases. Our study used the registration information at to provide an overview of the registered trials investigating stem cell therapy for heart diseases.Methods: We searched from inception to October 1. 2020 to identify clinical trials evaluating stem cell therapy for heart diseases. These trials were included in a cross-sectional survey and descriptive analysis. The outcomes included start date. completion date. location. status. study results. funding. phase. study design. conditions. interventions. sex. age. and sample size of those trials. as well as conditions. efficacy. safety and samples of the publications. SPSS 24.0 software was used for the statistical analysis.Results: A total of 241 trials were included. The registration applications for most trials originated from the United States. and the research start date ranged from 2001 to 2025. More than half of the trials have been completed. but few trials have published results (15.62{\%}). The funding source for 81.12{\%} of trials was recorded as ""other "" because the specific funding source was not indicated. There were 226 (93.78{\%}) interventional studies and 15 (6.22{\%}) observational studies, among all 241 studies. only 2.90{\%} were phase 4 trials. Most interventional studies used randomized allocation. parallel assignment. and blinding. Of the observational studies. 6 were cohort studies (40.00{\%}) and 73.33{\%} were prospective. The most common disease was coronary artery disease (57.68{\%}) and 98.34{\%} included both male and female participants. The sample size included fewer than 50 patients in 58.51{\%} of trials. and only 18 trials (7.47{\%}) lasted more than 121 months. The registered details were illogical for nine trials (3.8{\%}) that included 0 subjects and two trials (0.8{\%}) that had a duration of 0 months (0.8{\%}). In term of publications of the trials. most of the publications of the trials showed efficacy and safety in stem cell therapy for heart disease.Conclusion: The clinical trials investigating stem cell therapy for heart diseases registered at are mostly interventional studies. and only a few are phase 4 trials. Most trials have a small sample size. and few have a duration of more than 121 months. Most of the completed trials did not publish their results. and some of the registration information was incomplete and illogical. PU  - FRONTIERS MEDIA SA PI  - LAUSANNE PA  - AVENUE DU TRIBUNAL FEDERAL 34. LAUSANNE. CH-1015. SWITZERLAND"
139,Background: Automated assignment of specific ontology concepts to mentions in text is a critical task in biomedical natural language processing. and the subject of many open shared tasks. Although the current state of the art involves the use of neural network language models as a post-processing step. the very large number of ontology classes to be recognized and the limited amount of gold-standard training data has impeded the creation of end-to-end systems based entirely on machine learning. Recently. Hailu et al. recast the concept recognition problem as a type of machine translation and demonstrated that sequence-to-sequence machine learning models have the potential to outperform multi-class classification approaches.Methods: We systematically characterize the factors that contribute to the accuracy and efficiency of several approaches to sequence-to-sequence machine learning through extensive studies of alternative methods and hyperparameter selections. We not only identify the best-performing systems and parameters across a wide variety of ontologies but also provide insights into the widely varying resource requirements and hyperparameter robustness of alternative approaches. Analysis of the strengths and weaknesses of such systems suggest promising avenues for future improvements as well as design choices that can increase computational efficiency with small costs in performance.Results: Bidirectional encoder representations from transformers for biomedical text mining (BioBERT) for span detection along with the open-source toolkit for neural machine translation (OpenNMT) for concept normalization achieve state-of-the-art performance for most ontologies annotated in the CRAFT Corpus. This approach uses substantially fewer computational resources. including hardware. memory. and time than several alternative approaches.Conclusions: Machine translation is a promising avenue for fully machine-learning-based concept recognition that achieves state-of-the-art results on the CRAFT Corpus. evaluated via a direct comparison to previous results from the 2019 CRAFT shared task. Experiments illuminating the reasons for the surprisingly good performance of sequence-to-sequence methods targeting ontology identifiers suggest that further progress may be possible by mapping to alternative target concept representations. All code and models can be found at: . PU  - BMC PI  - LONDON PA  - CAMPUS. 4 CRINAN ST. LONDON N1 9XW. ENGLAND
140,The current study intends to investigate teachers' beliefs about the issues encountered by writing teachers when they assess writing skills at the University of Algiers2. It also examines the factors which lie behind these challenges. Understanding the nature of the perceived challenges of assessing writing is very important to rethink the assessment practices of writing skills. Therefore. this study addresses the following research question: what are teachers' beliefs about the issues encountered when assessing students' writing skills? In this concern. the researcher adopted mixed method research to collect data by using a questionnaire and a semi-structured interview with ten teachers of writing selected randomly in the English department at the University of Algiers 2. Findings revealed that almost all teachers viewed the process of assessing writing as a very challenging task. Examples of the difficulties identified in this research include students' language problems. teachers' confusion between focusing on the content or the form. time pressure. overloaded classes. and lack of sufficient time to assess students' writing skills. Regarding the reasons behind these perceived challenges. teachers believed that the abovementioned issues stemmed from the lack of participation in a professional development program. low teaching load. and students' lack of intensive practice. This research provided a set of pedagogical implications to overcome these issues by calling for an emphasis on the importance of teachers' participation in a professional development program. reinforcement of teachers' training in the field of assessment. and the encouragement of students' intensive practice. and a sufficient teaching load. PU  - ARAB WORLD ENGLISH JOURNAL PI  - KUALA LUMPUR PA  - JALAN 34-24 WANGSA MAJU. KUALA LUMPUR. 53300. MALAYSIA
141,"OBJECTIVE: The aim: To find out the impact of exercise on promotion of health and restoration of mental capacity of instructors of higher educational institutions with specific learning environment.PATIENTS AND METHODS: Materials and methods: The research was conducted in 2018-2021. Research methods: theoretical analysis of literature sources. documentary method. pedagogical observation. The theoretical analysis of literature sources and documentary method allowed to clarify the role. place and objectives of physical training in the professional activities of the instructors, the pedagogical observation was used in the analysis of the instructors' professional activities.CONCLUSION: Conclusions: It was found that the instructors' professional activities are influenced by many negative factors: low motor activity. length of working day and week. forced working position. stress. mental overload. stress. lack of time for physical training. These factors result in the appearance of excess weight. dysfunction of major body systems. reduced mental capacity. the emergence of various diseases and labour costs. All this has a negative impact on the learning process of cadets. The direction for improving the physical training of instructors is to increase the amount of general physical training. conducting training sessions with different orientations taking into account age. physical condition. teaching load of instructors. as well as class time. A high level of instructors' general physical fitness will allow to effectively perform training tasks, strengthen their health, maintain a high level of mental capacity for a long time, extend professional longevity."
142,"Background: Research on clinical trials that employ stem cells to treat children?s diseases is limited. The clinical trial registry database provides a unique window to us to get known about clinical trial researches with different statuses. However. few studies aimed to perform a comprehensive and thorough analysis of those registered trials in the aforementioned field based on ClinicalTrials.gov and the ICTRP portal site. Methods: Our study covered the clinical researches about stem cell therapy enrolling subjects aged under 18 years old registered on ClinicalTrials.gov and WHO ICTRP before May 18. 2021. A cross-sectional study was implemented to comprehensively describe and analyze the included trials that met the criteria. Results were available on ClinicalTrials.gov. and publications related to the included trials were identified. All analyses were performed utilizing the SPSS 25.0 software. Results: Eventually. 202 clinical trials were included and evaluated. The participant number of trials tended to be small, 71.3% were enrolled < 50. And 93.5% of the subjects were without gender restrictions. Till May 2020. 112 trials had been preliminary completed. of which only 39 trials had published papers or uploaded results. Most (73.6%) of 186 interventional trials were in phase 1 and phase 2. where 131 (70.4%) trials were conducted without masking. and 26.3% trials were randomized, 55.4% trials were performed single group assignment. Of 16 observational trials. case-only/series took up 37.5%. Hematopoietic stem cells (37.1%) and mesenchymal stem cells (36.1%) were mostly employed. while umbilical cord blood (UCB)-derived cells (24.3%) and bone marrow (BM)-derived cells (20.8%) were the major sources. Conclusions: This study provided an overall picture of utilizing stem cells for treatment and management of childhood diseases. Since clinical trials in this area are insufficient in quantity and quality. there is an urgent need of larger. better-designed trials. Increased investment in clinical research of stem cell treatment products should be carried out to achieve the transformation of results as soon as possible. Moreover. it is important to optimize the management of the registration platform and shorten the time it takes for research results to be published.   2022. The Author(s)."
143,"Many metagenomic and environmental DNA studies require the taxonomic assignment of individual reads or sequences by aligning reads to a reference database. known as taxonomic binning. When a read aligns to more than one reference sequence. it is often classified based on sequence similarity. This step can assign reads to incorrect taxa. at a rate which depends both on the assignment algorithm and on underlying population genetic and database parameters. In particular. as we move towards using environmental DNA to study eukaryotic taxa subject to regular recombination. we must take into account issues concerning gene tree discordance. Though accuracy is often compared across algorithms using a fixed data set. the relative impact of these population genetic and database parameters on accuracy has not yet been quantified. Here. we develop both a theoretical and simulation framework in the simplified case of two reference species. and compute binning accuracy over a wide range of parameters. including sequence length. species?query divergence time. divergence times of the reference species. reference database completeness. sample age and effective population size. We consider two assignment methods and contextualize our results using parameters from a recent ancient environmental DNA study. comparing them to the commonly used discriminative k-mer-based method Clark (Current Biology. 31. 2021. 2728, BMC Genomics. 16. 2015. 1). Our results quantify the degradation in assignment accuracy as the samples diverge from their closest reference sequence. and with incompleteness of reference sequences. We also provide a framework in which others can compute expected accuracy for their particular method or parameter set. Code is available at https://github.com/bdesanctis/binning-accuracy.   2022 The Authors. Molecular Ecology Resources published by John Wiley & Sons Ltd."
144,Pedigrees have a long history in classical genetics. agronomics. evolutionary ecology. and ex situ captive breeding. Use of molecular techniques has expanded the variety of species for which pedigrees can be constructed. However. molecular pedigrees almost exclusively consider microsatellite loci. despite advances in high-throughput sequencing allowing development of genomic marker sets in nearly any organism. Here we generate a novel set of genomic SNPs derived from ddRAD sequencing in two populations of Weddell seals (Leptonychotes weddellii) and describe the diversity and differentiation between them. We then compare and contrast parentage assignment rates and accuracy in one population that has been the subject of long-term monitoring. Specifically. we consider pedigrees constructed using two sets of markers (microsatellites and SNPs). two pedigree construction software (CERVUS than Sequoia). as well as varying the groupings of candidate parents (either all individuals simultaneously. only individuals born before a focal year. or only individuals known to have survived to a focal year). ddRAD sequencing returned between 1568 and 3240 loci depending on whether both populations were considered simultaneously or individually. Parentage assignment rates were always higher using CERVUS than Sequoia. with the latter at times either not assigning parentage or creating ?inferred parents?. In all cases. ?polarizing? the datasets (e.g.. including year of birth) significantly improved assignments. This represents one of the first direct comparisons of pedigree construction using different markers in the same set of individuals. and the SNPs described here will be a resource for continued pedigree construction. and future research in Weddell seals.   2021. The Author(s). under exclusive licence to Springer Nature B.V.
145,"There is much that can be said about the competences of teachers and students needed to learn ICT and Multimedia in the Physics curriculum. The same applies to the teaching and assessment of those competences. Essentially. we are concerned with the goals of the education and the goals of the assessment. If we are concerned with the process of learning. formative assessment is appropriate. but if we want to know what has been learnt. summative assessment. using assignments with scoring instructions is better. In the Netherlands we have a context-based exam curriculum in which specific contexts have been prescribed since the 80s. So. schoolbooks. and as a result of that. most of the Physics lessons are context-based as well. Because of the principle ""test what you teach"". all exam questions are context-based too. With the help of ICT (data acquisition. video-analysis modelling. data-analysis or a simulation program) a lot of problems on several subjects are becoming more clear. Teachers and students can use software like COACH for doing measurements on film fragments and modelling the results. In the COMPEX project in the Netherlands. working over 3 levels corresponding to lower vocational. higher vocational and pre-university education. we used Applets. Excel. Data processing. video measurements and modeling in the tests. Because the students used the same software in their lessons. they had the skills to use the software. The questions and answers were on paper. The purpose of the project was to assess the skills competences they learned in the physics lessons.   Published under licence by IOP Publishing Ltd."
146,In the modern and digital society. the importance of software development is undeniable. Therefore. educating the next generation of software developers is crucial. However. learning how to program is challenging. and research on improving programming pedagogy is essential. Adding a laboratory component to programming courses can enhance the education. In this work. we first elicited requirements and guidelines for an introductory programming lab curriculum based on a literature review and feedback by instructors with years of experience. These included the use of (1) current and adequate tools. (2) collaborative learning environment. (3) formative assessment. (4) appropriate assignments for the target audience. (5) pedagogical innovations. and (6) to prepare students to be lifelong learners of the subject. Following. we present a curriculum for an introductory undergraduate programming lab based on the Raspberry Pi platform. It teaches students how to program following software development best practices and integrate software and hardware through a series of cyber-physical assignments. including developing a rover vehicle. We successfully piloted the curriculum with 30 students. and we present the highly positive feedback provided by them. Although the course was based on the C programming language. the underlying foundation on programming principles will allow students to apply the concepts in any language. Furthermore. this curriculum is not intended to be a one-size-fits-all approach to programming education. However. it can be a strong starting point for readers to tailor it to fit their audience. school needs. and student learning outcomes.   2022. The Author(s). under exclusive license to Springer Nature Switzerland AG.
147,In this study we investigate college instructors' use of practices that facilitate interactions in online college courses. We begin by drawing on several strands of literature to offer a person-purpose interaction framework with two dimensions ? one regarding the entities involved in the interaction (instructor. student. content) and the other regarding the pedagogical goal of the interaction (academic. social. managerial) ? that result in six sub-domains of practices. Subsequently. we examine the frequency of. and factors associated with instructors' use of these six domains. using survey data collected from online college instructors (N = 126) from a large community college. The results show that instructors using more interaction-oriented practices consistently have greater employment stability and teaching load. greater self-efficacy for using learning management systems. and greater perceived benefits of online learning for students. The findings have several implications for future research examining pedagogical behavior. as well as the design of professional development activities aimed at enhancing the use of effective online instructional practices among college instructors.   2022 Elsevier Ltd
